Frame number,453
First frame,1
Point frequency,100
Analog frequency,1000

Left_Foot Strike,0.25,1.3,2.35,3.4
Right_Foot Strike,0.77,1.83,2.88,3.94
Left_Foot Off,0.88,1.93,2.98,4.05
Right_Foot Off,1.4,2.45,3.51

Time,LANK,,,LPSI,,,RTIB,,,RASI,,,RANK,,,RKNE,,,RTOE,,,LASI,,,LHEE,,,RHEE,,,LTOE,,,LTIB,,,LTHI,,,RTHI,,,LKNE,,,RPSI,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.61,238.926,2263.59,82.3557,148.716,2236.13,972.254,-31.8666,1954.91,356.51,50.4378,1996.85,920.949,47.1653,2010.02,104.707,-5.7274,1914.71,486.23,34.6328,1868.45,63.0743,296.751,2007.7,913.981,181.431,2317.44,49.7165,117.77,2047.49,74.5327,232.108,2112.6,42.2739,310.542,2207.34,265.507,0,0,0,0,0,0,0,0,0,0,0,0
0.62,238.854,2263.12,83.4373,147.8,2224.45,970.736,-31.7147,1935.41,352.579,50.5643,1984.3,919.035,45.0117,1971.92,96.7682,-4.42995,1903.42,484.033,32.5156,1827.97,65.4392,296.889,1996.73,912.118,181.357,2317.39,51.2779,115.455,2007.49,63.8425,232.064,2112.64,42.3072,310.174,2204.68,266.103,0,0,0,0,0,0,0,0,0,0,0,0
0.63,238.917,2262.55,84.5783,146.788,2212.63,969.098,-31.6515,1916.22,349.066,50.5813,1971.64,916.938,42.511,1933.86,90.4385,-3.19876,1892.6,481.476,30.7113,1788.19,69.4216,296.943,1985.62,910.226,181.452,2317.33,53.0275,112.61,1967.6,54.8892,232.043,2112.66,42.326,309.978,2201.77,266.728,0,0,0,0,0,0,0,0,0,0,0,0
0.64,239.117,2261.88,85.8179,145.658,2200.69,967.376,-31.6843,1897.29,346.091,50.494,1958.88,914.703,39.78,1896.29,85.7999,-2.06601,1882.07,478.682,29.3592,1749.49,74.9488,296.915,1974.36,908.319,181.723,2317.23,55.0052,109.336,1928.26,47.7682,232.051,2112.65,42.3261,309.942,2198.6,267.377,0,0,0,0,0,0,0,0,0,0,0,0
0.65,239.454,2261.11,87.2076,144.385,2188.66,965.609,-31.8138,1878.62,343.726,50.3076,1946,912.38,36.9705,1859.74,82.8072,-1.06525,1871.61,475.782,28.556,1712.31,81.7873,296.808,1962.95,906.414,182.16,2317.07,57.2459,105.802,1890.04,42.4565,232.089,2112.62,42.3056,310.044,2195.16,268.05,315.219,2091.72,582.742,0,0,0,0,0,0,0,0,0
0.66,239.924,2260.22,88.8041,142.943,2176.56,963.842,-32.0314,1860.24,341.976,50.0266,1932.99,910.021,34.2546,1824.81,81.2842,-0.229053,1860.98,472.91,28.336,1677.14,89.5279,296.62,1951.37,904.521,182.748,2316.81,59.7781,102.243,1853.53,38.8045,232.155,2112.54,42.2642,310.26,2191.42,268.751,314.824,2083.5,581.727,-25.3068,1928.87,685.692,0,0,0,0,0,0
0.67,240.527,2259.21,90.6597,141.31,2164.44,962.122,-32.3186,1842.21,340.778,49.6544,1919.85,907.676,31.8083,1792.1,80.9315,0.415853,1849.98,470.189,28.6639,1644.47,97.598,296.348,1939.59,902.654,183.468,2316.42,62.623,98.9326,1819.36,36.5437,232.239,2112.43,42.2006,310.57,2187.36,269.5,314.528,2074.93,580.861,-27.1922,1920.22,681.114,0,0,0,0,0,0
0.68,241.263,2258.07,92.8131,139.479,2152.34,960.494,-32.6469,1824.62,340.002,49.1935,1906.57,905.397,29.7947,1762.21,81.3519,0.854484,1838.41,467.724,29.4417,1614.79,105.311,295.986,1927.62,900.824,184.313,2315.89,65.796,96.145,1788.16,35.314,232.33,2112.29,42.1108,310.956,2182.99,270.323,314.32,2066.03,580.131,-28.8743,1910.28,677.267,0,0,0,0,0,0
0.69,242.142,2256.78,95.2818,137.457,2140.27,958.992,-32.9808,1807.57,339.464,48.6447,1893.14,903.231,28.3451,1735.59,82.0977,1.08852,1826.14,465.587,30.5307,1588.48,111.952,295.528,1915.42,899.04,185.285,2315.2,69.3077,94.1037,1760.45,34.7103,232.42,2112.11,41.988,311.403,2178.29,271.251,314.175,2056.77,579.508,-30.3509,1899.06,674.152,0,0,0,0,0,0
0.7,243.176,2255.33,98.0611,135.283,2128.19,957.63,-33.282,1791.16,338.966,48.008,1879.56,901.222,27.5388,1712.59,82.7357,1.13799,1813.09,463.822,31.7836,1565.78,116.876,294.968,1903.01,897.31,186.39,2314.33,73.1672,92.9399,1736.66,34.3397,232.503,2111.9,41.8265,311.896,2173.28,272.315,314.057,2047.16,578.951,-31.6159,1886.59,671.768,0,0,0,0,0,0
