Frame number,89
First frame,128
Point frequency,100
Analog frequency,1000

Left_Foot Strike,1.38
Right_Foot Off,1.52
Right_Foot Strike,2
Left_Foot Off,2.14

Time,LPSI,,,RPSI,,,RTOE,,,LHEE,,,LKNE,,,LTIB,,,RTIB,,,LANK,,,RTHI,,,LTHI,,,RANK,,,RKNE,,,RHEE,,,LTOE,,,RASI,,,LASI,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.67,38.0125,-1136.73,919.06,133.972,-1141.69,913.608,184.231,-1117.01,78.6663,73.7553,-1078.54,23.4807,-44.5298,-1011.23,434.911,-34.6764,-1022.27,197.161,253.017,-1023.08,376.83,24.8495,-1027.78,49.6403,272.98,-980.795,652.439,-65.0787,-1002.73,588.081,192.981,-1190.45,202.699,235.08,-924.659,449.175,138.966,-1237.57,215.304,53.8541,-888.172,30.0752,197.937,-959.961,895.905,-7.51218,-945.001,914.875
1.68,37.8436,-1127.26,919.247,133.785,-1132.23,914.223,184.918,-1080.68,75.316,73.8892,-1078.37,23.7373,-44.9987,-1008.23,434.8,-34.7479,-1021.17,197.111,252.576,-1001.02,376.709,25.1717,-1027.51,49.5742,273.171,-966.54,654.858,-65.665,-997.337,587.901,193.353,-1160.96,194.797,234.618,-905.214,452.744,139.557,-1209.12,204.705,53.8519,-887.881,29.9015,197.125,-950.437,897.03,-8.38511,-935.665,914.492
1.69,37.8296,-1117.8,919.311,133.767,-1122.7,914.724,185.749,-1043.53,71.7043,74.0329,-1078.18,24.0091,-45.4143,-1005.26,434.694,-34.7905,-1020.12,197.096,252.277,-979.154,375.779,25.5096,-1027.23,49.5083,273.428,-952.293,657.238,-66.225,-991.995,587.682,193.824,-1130.78,185.901,234.13,-886.397,456.032,140.258,-1179.83,192.902,53.825,-887.6,29.7337,196.33,-940.79,898.034,-9.22552,-926.363,914.007
1.7,37.9703,-1108.34,919.25,133.911,-1113.08,915.092,186.738,-1005.64,68.0067,74.1861,-1077.98,24.2926,-45.7736,-1002.3,434.595,-34.8055,-1019.11,197.122,252.141,-957.441,374.011,25.851,-1026.93,49.4566,273.743,-938.085,659.538,-66.7575,-986.715,587.429,194.386,-1099.86,176.171,233.643,-868.222,458.94,141.044,-1149.61,180.048,53.7707,-887.331,29.5733,195.559,-931.015,898.904,-10.0248,-917.092,913.426
1.71,38.2645,-1098.87,919.06,134.211,-1103.37,915.312,187.857,-967.09,64.3934,74.3508,-1077.77,24.5851,-46.0713,-999.35,434.504,-34.7916,-1018.16,197.193,252.18,-935.841,371.412,26.1861,-1026.63,49.434,274.106,-923.952,661.717,-67.2594,-981.501,587.149,195.034,-1068.15,165.787,233.181,-850.706,461.38,141.898,-1118.38,166.331,53.6886,-887.072,29.4219,194.82,-921.108,899.63,-10.7757,-907.85,912.755
1.72,38.7106,-1089.41,918.737,134.661,-1093.56,915.373,189.036,-927.964,61.0252,74.5323,-1077.55,24.886,-46.3014,-996.395,434.424,-34.7453,-1017.26,197.313,252.397,-914.338,368.024,26.5095,-1026.32,49.4542,274.506,-909.934,663.733,-67.7253,-976.341,586.848,195.757,-1035.64,154.949,232.769,-833.871,463.28,142.811,-1086.08,151.967,53.5811,-886.819,29.2804,194.117,-911.068,900.202,-11.4726,-898.638,911.999
1.73,39.307,-1079.93,918.28,135.255,-1083.65,915.262,190.175,-888.376,58.054,74.74,-1077.31,25.1984,-46.4581,-993.412,434.356,-34.6613,-1016.38,197.481,252.784,-892.939,363.925,26.8205,-1026,49.5277,274.931,-896.07,665.541,-68.1472,-971.217,586.532,196.545,-1002.32,143.873,232.429,-817.746,464.581,143.778,-1052.71,137.206,53.4534,-886.569,29.149,193.453,-900.896,900.61,-12.1121,-889.457,911.164
1.74,40.0527,-1070.45,917.686,135.986,-1073.65,914.973,191.16,-848.462,55.625,74.9866,-1077.07,25.5291,-46.5368,-990.376,434.303,-34.5337,-1015.51,197.698,253.32,-871.676,359.219,27.1233,-1025.69,49.6611,275.373,-882.402,667.096,-68.5151,-966.096,586.207,197.38,-968.216,132.788,232.18,-802.357,465.245,144.8,-1018.28,122.321,53.3129,-886.318,29.027,192.829,-890.592,900.847,-12.6927,-880.31,910.255
1.75,40.9473,-1060.96,916.956,136.851,-1063.55,914.502,191.882,-808.38,53.8789,75.2882,-1076.82,25.8889,-46.535,-987.259,434.267,-34.3563,-1014.62,197.959,253.975,-850.608,354.034,27.4246,-1025.36,49.8561,275.825,-868.973,668.351,-68.8197,-960.942,585.878,198.243,-933.385,121.93,232.034,-787.732,465.249,145.873,-982.873,107.608,53.1668,-886.063,28.9132,192.246,-880.161,900.907,-13.215,-871.2,909.278
1.76,41.9911,-1051.45,916.091,137.848,-1053.35,913.845,192.261,-768.313,52.9497,75.6611,-1076.56,26.2911,-46.4523,-984.032,434.249,-34.1232,-1013.7,198.262,254.709,-829.812,348.508,27.7333,-1025.03,50.1106,276.282,-855.825,669.258,-69.0525,-955.712,585.548,199.107,-897.938,111.536,231.999,-773.89,464.596,146.992,-946.598,93.3753,53.0213,-885.808,28.8065,191.702,-869.604,900.784,-13.6813,-862.129,908.239
